product_code,color_value
2101328908,네이비
2101328909,네이비
2101328910,라이트 그레이
2101328910,기타
2101328911,소프트 마젠타
2101328911,플로럴 패턴
2101328911,10 리즈 핑크
2101329711,블랙
2101330389,화이트
2101330391,그레이
2101330680,화이트
2101330799,화이트
2101330957,버치
2101330957,코튼
2101330957,시더
2101330957,세피아
2101330957,크렘
2101330957,실크
2101330957,파운
2101331148,투명
2101331149,투명
2101331152,투명
2101331157,투명
2101331176,투명
2101331394,다크브라운
2101331394,탄
2101331394,블랙
2101331440,라이트 퍼플
2101331441,젯 블랙
2101331444,기타
2101331477,기타
2101332366,비치
2101332576,화이트
2101332576,레드
2101332603,화이트
2101332631,로즈 골드
2101332632,화이트 골드
2101332641,골드
2101332657,화이트
2101332662,화이트
2101332673,화이트
2101332682,화이트 골드
2101332694,화이트 골드
2101332704,화이트 골드
2101332708,화이트 골드
2101332709,네이비
2101332722,골드
2101332725,골드
2101332726,골드
2101332726,골드
2101332910,화이트
2101332910,네이비
2101332910,레드
2101332910,와인
2101332910,블랙
2101332910,라이트 블루
2101332910,그레이
2101332919,그레이
2101332919,라이트 그레이
2101332919,네이비
2101332919,푸시아 핑크
2101332920,그린
2101332922,기타
2101332923,기타
2101332924,레드
2101332925,네이비
2101332927,네이비
2101332928,네이비
2101332931,블랙
2101332932,블랙
2101332932,아이보리
2101332935,네이비
2101332937,스카이블루
2101332938,핑크
2101332939,네이비
2101332940,그레이
2101333129,화이트
2101333342,블랙
2101333342,네이비
2101333342,네이비
2101333342,화이트
2101333342,마젠타
2101333342,마젠타
2101333342,핑크
2101333342,블루+4
2101333767,화이트
2101334931,네이비
2101334931,블랙
2101334931,라이트 핑크
2101334931,화이트
2101334936,블랙
2101334937,블랙
2101334940,화이트
2101334942,블랙
2101334944,블랙
2101334945,화이트
2101334946,화이트
2101334947,마젠타
2101334951,화이트
2101334953,블랙
2101334955,블랙
2101334957,블랙
2101334959,블랙
2101334960,블랙
2101334963,그린
2101334964,그린
2101334965,그린
2101334966,그린
2101334968,블루
2101334969,블루
2101334970,블루
2101334971,블루
2101335010,베이지
2101335405,투명
2101335406,베이지
2101335407,블랙
2101335408,블랙
2101335410,화이트
2101335411,화이트
2101335412,블랙
