product_code,promotion_code,promotion_name
2009306041,2309102423,아니말리크 오 드 퍼퓸
2009307452,2408144976,센스 있는 선물 준비 완료
2010309024,2408142866,운동 할 때도 스타일리시하게
2010309032,2408142866,운동 할 때도 스타일리시하게
2010309042,2408142866,운동 할 때도 스타일리시하게
2010309070,2408142866,운동 할 때도 스타일리시하게
2010309071,2408142866,운동 할 때도 스타일리시하게
2010309072,2408142866,운동 할 때도 스타일리시하게
2010309073,2408142866,운동 할 때도 스타일리시하게
2010309074,2408142866,운동 할 때도 스타일리시하게
2010310906,2408142866,운동 할 때도 스타일리시하게
2010311877,2408142866,운동 할 때도 스타일리시하게
2010311879,2408142866,운동 할 때도 스타일리시하게
2010315085,2408143759,라페르바 럭셔리 뷰티 기프트
2010315085,2307095929,시뷰티 x 테라사이클
2010315093,2408143759,라페르바 럭셔리 뷰티 기프트
2010315093,2407139255,S.I.BEAUTY 한가위 선물대전
2010315093,2401117409,#리얼한시마을
2010315094,2307095929,시뷰티 x 테라사이클
2010315094,2306094987,GO CAMP! EVERYWHERE
2010315094,2307096277,GO CAMP! EVERYWHERE
2010315096,2408143759,라페르바 럭셔리 뷰티 기프트
2010315096,2407139255,S.I.BEAUTY 한가위 선물대전
2010315762,2408144976,센스 있는 선물 준비 완료
2011317107,2408144588,나의 매일을 편안하게 만드는 일상용품
2011317687,2408143761,비디비치의 한가위 선물
2011317687,2311110864,#리얼한시마을
2011318530,2408142866,운동 할 때도 스타일리시하게
2011319148,2408142866,운동 할 때도 스타일리시하게
2011319150,2408142866,운동 할 때도 스타일리시하게
2011319638,2408144162,풍성한 추석 음식 이야기
2012324143,2408143764,일상에 스며드는 로이비의 향기
2012324143,2307095929,시뷰티 x 테라사이클
2012324144,2408143764,일상에 스며드는 로이비의 향기
2012324144,2307095929,시뷰티 x 테라사이클
2012325405,2408142863,새 계절에 갖출 새로운 감각
2012326603,2403124449,#빌리저스초이스
2012326603,2311108165,SIV x Dot Slash Dash
2012326823,2408144588,나의 매일을 편안하게 만드는 일상용품
2012326939,2407139255,S.I.BEAUTY 한가위 선물대전
2012326939,2407139248,연작과 준비하는 풍성한 한가위
2012326939,2405128931,LOVE WINS ALL
2012326939,2312113527,#빌리저스초이스
2012326950,2407139248,연작과 준비하는 풍성한 한가위
2012326950,2310105653,NEW 연작 리커버링 앰플 론칭
2012326950,1907009144,전지적 참견 휴가지
2012326954,2407139248,연작과 준비하는 풍성한 한가위
2012326954,2310105653,NEW 연작 리커버링 앰플 론칭
2012326957,2407139248,연작과 준비하는 풍성한 한가위
2012326957,2310105653,NEW 연작 리커버링 앰플 론칭
2012326959,2407139248,연작과 준비하는 풍성한 한가위
2012326959,2310105653,NEW 연작 리커버링 앰플 론칭
2012326961,2407139248,연작과 준비하는 풍성한 한가위
2012326961,2404125339,HOW TO 스킨케어 루틴
2012326961,2401117409,#리얼한시마을
2012326961,2312113527,#빌리저스초이스
2012326964,2407139248,연작과 준비하는 풍성한 한가위
2012326964,2310105653,NEW 연작 리커버링 앰플 론칭
2012326970,2407139248,연작과 준비하는 풍성한 한가위
