product_code,deli_cost_form_cd,deli_cost_poli_no,st_amt,deli_cost_unit_qty,city_exp_deli_cost,ret_deli_cost,prepay_permit_form_cd,deli_cost_amt
01P0000248320,10,0000000001,40000,0,0,3000,,3000
01P0000249090,10,0000000001,40000,0,0,3000,,3000
01P0000249091,10,0000000001,40000,0,0,3000,,3000
01P0000249092,10,0000000001,40000,0,0,3000,,3000
01P0000249093,10,0000000001,40000,0,0,3000,,3000
01P0000249094,10,0000000001,40000,0,0,3000,,3000
01P0000249095,10,0000000001,40000,0,0,3000,,3000
01P0000249096,10,0000000001,40000,0,0,3000,,3000
01P0000249097,10,0000000001,40000,0,0,3000,,3000
01P0000249098,10,0000000001,40000,0,0,3000,,3000
01P0000249099,10,0000000001,40000,0,0,3000,,3000
01P0000249544,10,0000000001,40000,0,0,3000,,3000
01P0000249545,10,0000000001,40000,0,0,3000,,3000
01P0000249546,10,0000000001,40000,0,0,3000,,3000
01P0000249547,10,0000000001,40000,0,0,3000,,3000
01P0000249548,10,0000000001,40000,0,0,3000,,3000
01P0000249549,10,0000000001,40000,0,0,3000,,3000
01P0000249551,10,0000000001,40000,0,0,3000,,3000
01P0000249554,10,0000000001,40000,0,0,3000,,3000
01P0000249556,10,0000000001,40000,0,0,3000,,3000
01P0000250200,10,0000000001,40000,0,0,3000,,3000
01P0000250514,10,0000000001,40000,0,0,3000,,3000
01P0000250516,10,0000000001,40000,0,0,3000,,3000
01P0000251263,10,0000000001,40000,0,0,3000,,3000
01P0000253778,10,0000000001,40000,0,0,3000,,3000
01P0000253971,10,0000000001,40000,0,0,3000,,3000
01P0000254088,10,0000000001,40000,0,0,3000,,3000
01P0000255484,10,0000000001,40000,0,0,3000,,3000
01P0000255485,10,0000000001,40000,0,0,3000,,3000
01P0000255502,10,0000000001,40000,0,0,3000,,3000
01P0000256876,10,0000000001,40000,0,0,3000,,3000
01P0000256878,10,0000000001,40000,0,0,3000,,3000
01P0000257037,10,0000000001,40000,0,0,3000,,3000
01P0000257038,10,0000000001,40000,0,0,3000,,3000
01P0000257040,10,0000000001,40000,0,0,3000,,3000
01P0000257041,10,0000000001,40000,0,0,3000,,3000
01P0000257043,10,0000000001,40000,0,0,3000,,3000
01P0000257061,10,0000000001,40000,0,0,3000,,3000
01P0000257062,10,0000000001,40000,0,0,3000,,3000
01P0000257063,10,0000000001,40000,0,0,3000,,3000
01P0000257346,10,0000000001,40000,0,0,3000,,3000
01P0000257348,10,0000000001,40000,0,0,3000,,3000
01P0000257456,10,0000000001,40000,0,0,3000,,3000
01P0000258850,10,0000000001,40000,0,0,3000,,3000
01P0000258851,10,0000000001,40000,0,0,3000,,3000
01P0000258852,10,0000000001,40000,0,0,3000,,3000
01P0000258853,10,0000000001,40000,0,0,3000,,3000
01P0000258854,10,0000000001,40000,0,0,3000,,3000
01P0000258855,10,0000000001,40000,0,0,3000,,3000
01P0000258883,10,0000000001,40000,0,0,3000,,3000
01P0000259504,10,0000000001,40000,0,0,3000,,3000
01P0000259725,10,0000000001,40000,0,0,3000,,3000
01P0000259726,10,0000000001,40000,0,0,3000,,3000
01P0000259743,10,0000000001,40000,0,0,3000,,3000
01P0000259744,10,0000000001,40000,0,0,3000,,3000
01P0000259745,10,0000000001,40000,0,0,3000,,3000
01P0000259746,10,0000000001,40000,0,0,3000,,3000
01P0000259747,10,0000000001,40000,0,0,3000,,3000
01P0000263475,10,0000000001,40000,0,0,3000,,3000
01P0000263477,10,0000000001,40000,0,0,3000,,3000
01P0000263481,10,0000000001,40000,0,0,3000,,3000
01P0000263482,10,0000000001,40000,0,0,3000,,3000
01P0000263483,10,0000000001,40000,0,0,3000,,3000
01P0000263484,10,0000000001,40000,0,0,3000,,3000
01P0000263485,10,0000000001,40000,0,0,3000,,3000
01P0000263486,10,0000000001,40000,0,0,3000,,3000
01P0000268933,10,0000000001,40000,0,0,3000,,3000
01P0000268934,10,0000000001,40000,0,0,3000,,3000
01P0000269445,10,0000000001,40000,0,0,3000,,3000
01P0000269447,10,0000000001,40000,0,0,3000,,3000
01P0000269448,10,0000000001,40000,0,0,3000,,3000
01P0000269449,10,0000000001,40000,0,0,3000,,3000
01P0000269735,10,0000000001,40000,0,0,3000,,3000
01P0000269811,10,0000000001,40000,0,0,3000,,3000
01P0000269826,10,0000000001,40000,0,0,3000,,3000
01P0000269835,10,0000000001,40000,0,0,3000,,3000
01P0000269839,10,0000000001,40000,0,0,3000,,3000
01P0000269967,10,0000000001,40000,0,0,3000,,3000
01P0000269969,10,0000000001,40000,0,0,3000,,3000
01P0000269974,10,0000000001,40000,0,0,3000,,3000
01P0000269975,10,0000000001,40000,0,0,3000,,3000
01P0000269981,10,0000000001,40000,0,0,3000,,3000
01P0000269983,10,0000000001,40000,0,0,3000,,3000
01P0000269991,10,0000000001,40000,0,0,3000,,3000
01P0000269995,10,0000000001,40000,0,0,3000,,3000
01P0000269996,10,0000000001,40000,0,0,3000,,3000
01P0000270005,10,0000000001,40000,0,0,3000,,3000
01P0000270013,10,0000000001,40000,0,0,3000,,3000
01P0000270014,10,0000000001,40000,0,0,3000,,3000
01P0000270020,10,0000000001,40000,0,0,3000,,3000
01P0000270114,10,0000000001,40000,0,0,3000,,3000
01P0000270115,10,0000000001,40000,0,0,3000,,3000
01P0000270116,10,0000000001,40000,0,0,3000,,3000
01P0000270117,10,0000000001,40000,0,0,3000,,3000
01P0000270118,10,0000000001,40000,0,0,3000,,3000
01P0000270183,10,0000000001,40000,0,0,3000,,3000
01P0000270426,10,0000000001,40000,0,0,3000,,3000
01P0000270435,10,0000000001,40000,0,0,3000,,3000
01P0000270438,10,0000000001,40000,0,0,3000,,3000
01P0000271982,10,0000000001,40000,0,0,3000,,3000
01P0000271984,10,0000000001,40000,0,0,3000,,3000
01P0000271986,10,0000000001,40000,0,0,3000,,3000
01P0000271991,10,0000000001,40000,0,0,3000,,3000
01P0000272010,10,0000000001,40000,0,0,3000,,3000
01P0000277340,10,0000000001,40000,0,0,3000,,3000
01P0000277455,10,0000000001,40000,0,0,3000,,3000
01P0000277971,10,0000000001,40000,0,0,3000,,3000
01P0000279410,10,0000000001,40000,0,0,3000,,3000
01P0000280182,10,0000000001,40000,0,0,3000,,3000
01P0000284417,10,0000000001,40000,0,0,3000,,3000
01P0000284610,10,0000000001,40000,0,0,3000,,3000
01P0000285690,10,0000000001,40000,0,0,3000,,3000
01P0000285692,10,0000000001,40000,0,0,3000,,3000
